                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  430748963 |          0 |          0 |          0 |          0 |  406720872 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  401110345 |          0 |          0 |          0 |          0 |  421334290 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600 |  612929600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.65 |       0.00 |       0.00 |       0.00 |       0.00 |       0.69 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400
  Idle time (ns)                     |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |    4048890 |  153232400 |  153232400 |  153232400 |  153232400 |    9945656 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |   11462438 |  153232400 |  153232400 |  153232400 |  153232400 |    5660231 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400 |  153232400
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       2.6% |     100.0% |     100.0% |     100.0% |     100.0% |       6.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       7.5% |     100.0% |     100.0% |     100.0% |     100.0% |       3.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   27071325 |          0 |          0 |          0 |          0 |   25359643 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   25063773 |          0 |          0 |          0 |          0 |   26210642 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    2896787 |          0 |          0 |          0 |          0 |    2916446 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    2895412 |          0 |          0 |          0 |          0 |    2821204 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      9.67% |      0.00% |      0.00% |      0.00% |      0.00% |     10.31% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     10.36% |      0.00% |      0.00% |      0.00% |      0.00% |      9.72% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
